Company name,Ticker,Sector,Industry
PNBK,Patriot National Bancorp Inc.,Finance,Major Banks
PATI,"Patriot Transportation Holding, Inc.",Transportation,Trucking Freight/Courier Services
PEGI,Pattern Energy Group Inc.,Public Utilities,Electric Utilities: Central
PDCO,"Patterson Companies, Inc.",Health Care,Medical Specialities
PTEN,"Patterson-UTI Energy, Inc.",Energy,Oil & Gas Production
PAVM,PAVmed Inc.,Health Care,Medical/Dental Instruments
PAVMW,PAVmed Inc.,Health Care,Medical/Dental Instruments
PAVMZ,PAVmed Inc.,Health Care,Medical/Dental Instruments
PAYX,"Paychex, Inc.",Consumer Services,Diversified Commercial Services
PCTY,Paylocity Holding Corporation,Technology,Computer Software: Prepackaged Software
PYDS,"Payment Data Systems, Inc.",Finance,Investment Bankers/Brokers/Service
PYPL,"PayPal Holdings, Inc.",Miscellaneous,Business Services
PBBI,"PB Bancorp, Inc.",Finance,Savings Institutions
CNXN,"PC Connection, Inc.",Consumer Services,Catalog/Specialty Distribution
PCMI,"PCM, Inc.",Consumer Services,Catalog/Specialty Distribution
PCSB,PCSB Financial Corporation,Finance,Banks
PCTI,"PC-Tel, Inc.",Technology,Radio And Television Broadcasting And Communications Equipment
PDCE,"PDC Energy, Inc.",Energy,Oil & Gas Production
PDFS,"PDF Solutions, Inc.",Technology,EDP Services
PDLI,"PDL BioPharma, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
PDLB,PDL Community Bancorp,Finance,Savings Institutions
PDVW,"pdvWireless, Inc.",Public Utilities,Telecommunications Equipment
SKIS,"Peak Resorts, Inc.",Consumer Services,Hotels/Resorts
PGC,Peapack-Gladstone Financial Corporation,Finance,Commercial Banks
PEGA,Pegasystems Inc.,Technology,EDP Services
PENN,"Penn National Gaming, Inc.",Consumer Services,Hotels/Resorts
PVAC,Penn Virginia Corporation,Energy,Oil & Gas Production
PFLT,PennantPark Floating Rate Capital Ltd.,n/a,n/a
PNNT,PennantPark Investment Corporation,n/a,n/a
PWOD,"Penns Woods Bancorp, Inc.",Finance,Major Banks
WRLS,Pensare Acquisition Corp.,Finance,Business Services
WRLSR,Pensare Acquisition Corp.,Finance,Business Services
WRLSU,Pensare Acquisition Corp.,Finance,Business Services
WRLSW,Pensare Acquisition Corp.,Finance,Business Services
PEBO,Peoples Bancorp Inc.,Finance,Major Banks
PEBK,"Peoples Bancorp of North Carolina, Inc.",Finance,Major Banks
PFIS,Peoples Financial Services Corp. ,Finance,Major Banks
PBCT,"People&#39;s United Financial, Inc.",Finance,Savings Institutions
PBCTP,"People&#39;s United Financial, Inc.",Finance,Savings Institutions
PUB,People&#39;s Utah Bancorp,Finance,Major Banks
KPFS,"Pepper Food Service Co., Ltd.",Consumer Services,Restaurants
PEP,"Pepsico, Inc.",Consumer Non-Durables,Beverages (Production/Distribution)
PRCP,"Perceptron, Inc.",Capital Goods,Electronic Components
PRFT,"Perficient, Inc.",Technology,EDP Services
DCIX,Performance Shipping Inc.,Transportation,Marine Transportation
PFMT,Performant Financial Corporation,Consumer Services,Other Consumer Services
PERI,Perion Network Ltd,Technology,EDP Services
PESI,"Perma-Fix Environmental Services, Inc.",Basic Industries,Environmental Services
PPIH,"Perma-Pipe International Holdings, Inc.",Capital Goods,Pollution Control Equipment
PGLC,Pershing Gold Corporation,Basic Industries,Precious Metals
PETQ,"PetIQ, Inc.",Health Care,Other Pharmaceuticals
PETS,"PetMed Express, Inc.",Health Care,Medical/Nursing Services
PFSW,"PFSweb, Inc.",Miscellaneous,Business Services
PGTI,"PGT Innovations, Inc.",Capital Goods,Building Products
PHAS,"PhaseBio Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
PHII,"PHI, Inc.",Transportation,Transportation Services
PHIIK,"PHI, Inc.",Transportation,Transportation Services
PAHC,Phibro Animal Health Corporation,Health Care,Major Pharmaceuticals
PHIO,Phio Pharmaceuticals Corp.,Health Care,Major Pharmaceuticals
PHIOW,Phio Pharmaceuticals Corp.,Health Care,Major Pharmaceuticals
PLAB,"Photronics, Inc.",Technology,Semiconductors
PHUN,"Phunware, Inc.",Technology,EDP Services
PHUNW,"Phunware, Inc.",Technology,EDP Services
PICO,PICO Holdings Inc.,Finance,Real Estate
PLL,Piedmont Lithium Limited,n/a,n/a
PIRS,"Pieris Pharmaceuticals, Inc.",Health Care,Biotechnology: Commercial Physical & Biological Resarch
PPC,Pilgrim&#39;s Pride Corporation,Consumer Non-Durables,Meat/Poultry/Fish
PDD,Pinduoduo Inc.,Miscellaneous,Business Services
PME,Pingtan Marine Enterprise Ltd.,n/a,n/a
PNFP,"Pinnacle Financial Partners, Inc.",Finance,Major Banks
PT,Pintec Technology Holdings Limited,Technology,"Computer Software: Programming, Data Processing"
PPSI,"Pioneer Power Solutions, Inc.",Consumer Durables,Electrical Products
PXLW,"Pixelworks, Inc.",Technology,Semiconductors
EAGL,Platinum Eagle Acquisition Corp.,Consumer Services,Hotels/Resorts
EAGLU,Platinum Eagle Acquisition Corp.,Consumer Services,Hotels/Resorts
EAGLW,Platinum Eagle Acquisition Corp.,Consumer Services,Hotels/Resorts
PLYA,Playa Hotels & Resorts N.V.,Consumer Services,Hotels/Resorts
PLXS,Plexus Corp.,Technology,Electrical Products
PLUG,"Plug Power, Inc.",Energy,Industrial Machinery/Components
PLBC,Plumas Bancorp,Finance,Finance Companies
PS,"Pluralsight, Inc.",Technology,"Computer Software: Programming, Data Processing"
PSTI,"Pluristem Therapeutics, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
PLXP,PLx Pharma Inc.,Health Care,Major Pharmaceuticals
PNTR,Pointer Telocation Ltd.,Technology,Radio And Television Broadcasting And Communications Equipment
PCOM,"Points International, Ltd.",Miscellaneous,Business Services
POLA,"Polar Power, Inc.",Miscellaneous,Industrial Machinery/Components
PTE,"PolarityTE, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
POOL,Pool Corporation,Consumer Durables,Industrial Specialties
POPE,Pope Resources,Consumer Non-Durables,Environmental Services
BPOP,"Popular, Inc.",Finance,Major Banks
BPOPM,"Popular, Inc.",Finance,Major Banks
BPOPN,"Popular, Inc.",Finance,Major Banks
PTLA,"Portola Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
PBPB,Potbelly Corporation,Consumer Services,Restaurants
PCH,PotlatchDeltic Corporation,Consumer Services,Real Estate Investment Trusts
POWL,"Powell Industries, Inc.",Consumer Durables,Electrical Products
POWI,"Power Integrations, Inc.",Technology,Semiconductors
PRAA,"PRA Group, Inc.",Finance,Finance: Consumer Services
PRAH,"PRA Health Sciences, Inc.",Health Care,Biotechnology: Commercial Physical & Biological Resarch
PRAN,Prana Biotechnology Ltd,Health Care,Major Pharmaceuticals
PRPO,"Precipio, Inc.",Capital Goods,Biotechnology: Laboratory Analytical Instruments
AIPT,Precision Therapeutics Inc.,Health Care,Industrial Specialties
PFBC,Preferred Bank,n/a,n/a
PLPC,Preformed Line Products Company,Basic Industries,Water Supply
PFBI,"Premier Financial Bancorp, Inc.",Finance,Major Banks
PINC,"Premier, Inc.",Consumer Services,Other Consumer Services
LENS,Presbia PLC,Health Care,Medical/Dental Instruments
PSDO,"Presidio, Inc.",Technology,Retail: Computer Software & Peripheral Equipment
PRGX,"PRGX Global, Inc.",Consumer Services,Diversified Commercial Services
PSMT,"PriceSmart, Inc.",Consumer Services,Department/Specialty Retail Stores
PNRG,PrimeEnergy Resources Corporation,Energy,Oil & Gas Production
PRMW,Primo Water Corporation,Consumer Non-Durables,Food Distributors
PRIM,Primoris Services Corporation,Basic Industries,Water Supply
PVAL,Principal Contrarian Value Index ETF,n/a,n/a
PFG,Principal Financial Group Inc,Finance,Accident &Health Insurance
BTEC,Principal Healthcare Innovators Index ETF,n/a,n/a
PXUS,Principal International Multi-Factor Index ETF,n/a,n/a
GENY,Principal Millennials Index ETF,n/a,n/a
PSET,Principal Price Setters Index ETF,n/a,n/a
PY,Principal Shareholder Yield Index ETF,n/a,n/a
PMOM,Principal Sustainable Momentum Index ETF,n/a,n/a
USMC,Principal U.S. Mega-Cap Multi-Factor Index ETF,n/a,n/a
PSC,Principal U.S. Small-Cap Multi-Factor Index ETF,n/a,n/a
PRNB,Principia Biopharma Inc.,Health Care,Major Pharmaceuticals
PRTH,"Priority Technology Holdings, Inc.",Miscellaneous,Business Services
PDEX,"Pro-Dex, Inc.",Health Care,Medical/Dental Instruments
IPDN,"Professional Diversity Network, Inc.",Technology,"Computer Software: Programming, Data Processing"
PFIE,"Profire Energy, Inc.",Energy,Metal Fabrications
PGNX,Progenics Pharmaceuticals Inc.,Health Care,Major Pharmaceuticals
PRGS,Progress Software Corporation,Technology,Computer Software: Prepackaged Software
PFPT,"Proofpoint, Inc.",Technology,EDP Services
PRPH,"ProPhase Labs, Inc.",Health Care,Major Pharmaceuticals
PRQR,ProQR Therapeutics N.V.,Health Care,Major Pharmaceuticals
EQRR,ProShares Equities for Rising Rates ETF,n/a,n/a
BIB,ProShares Ultra Nasdaq Biotechnology,n/a,n/a
UBIO,Proshares UltraPro Nasdaq Biotechnology,n/a,n/a
TQQQ,ProShares UltraPro QQQ,n/a,n/a
ZBIO,ProShares UltraPro Short NASDAQ Biotechnology,n/a,n/a
SQQQ,ProShares UltraPro Short QQQ,n/a,n/a
BIS,ProShares UltraShort Nasdaq Biotechnology,n/a,n/a
PSEC,Prospect Capital Corporation,n/a,n/a
PTGX,"Protagonist Therapeutics, Inc.",Health Care,Major Pharmaceuticals
PTVCA,Protective Insurance Corporation,Finance,Property-Casualty Insurers
PTVCB,Protective Insurance Corporation,Finance,Property-Casualty Insurers
PRTO,"Proteon Therapeutics, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
PTI,"Proteostasis Therapeutics, Inc.",Health Care,Major Pharmaceuticals
PRTA,Prothena Corporation plc,Health Care,Major Pharmaceuticals
PRVB,"Provention Bio, Inc.",Health Care,Major Pharmaceuticals
PVBC,"Provident Bancorp, Inc.",Finance,Savings Institutions
PROV,"Provident Financial Holdings, Inc.",Finance,Savings Institutions
PBIP,"Prudential Bancorp, Inc.",Finance,Banks
PMD,Psychemedics Corporation,Health Care,Medical Specialities
PTC,PTC Inc.,Technology,Computer Software: Prepackaged Software
PTCT,"PTC Therapeutics, Inc.",Health Care,Major Pharmaceuticals
PHCF,"PUHUI WEALTH INVESTMENT MANAGEMENT CO., LTD.",Finance,Investment Managers
PULM,"Pulmatrix, Inc.",Health Care,Major Pharmaceuticals
PLSE,"Pulse Biosciences, Inc",Health Care,Medical/Dental Instruments
PBYI,Puma Biotechnology Inc,Health Care,Major Pharmaceuticals
PACQ,Pure Acquisition Corp.,Finance,Business Services
PACQU,Pure Acquisition Corp.,Finance,Business Services
PACQW,Pure Acquisition Corp.,Finance,Business Services
PCYO,Pure Cycle Corporation,Public Utilities,Water Supply
PRPL,"Purple Innovation, Inc.",Consumer Durables,Home Furnishings
PXS,Pyxis Tankers Inc.,Transportation,Marine Transportation
QADA,QAD Inc.,Technology,Computer Software: Prepackaged Software
QADB,QAD Inc.,Technology,Computer Software: Prepackaged Software
QCRH,"QCR Holdings, Inc.",Finance,Major Banks
QGEN,Qiagen N.V.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
QIWI,QIWI plc,Miscellaneous,Business Services
QRVO,"Qorvo, Inc.",Technology,Semiconductors
QCOM,QUALCOMM Incorporated,Technology,Radio And Television Broadcasting And Communications Equipment
QBAK,Qualstar Corporation,Technology,Electronic Components
QLYS,"Qualys, Inc.",Technology,Computer Software: Prepackaged Software
QTNA,"Quantenna Communications, Inc.",Technology,Semiconductors
QTRX,Quanterix Corporation,Capital Goods,Biotechnology: Laboratory Analytical Instruments
QTRH,Quarterhill Inc.,Miscellaneous,Multi-Sector Companies
QRHC,Quest Resource Holding Corporation,Technology,Diversified Commercial Services
QUIK,QuickLogic Corporation,Technology,Semiconductors
QDEL,Quidel Corporation,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
QNST,"QuinStreet, Inc.",Miscellaneous,Business Services
QUMU,Qumu Corporation,Technology,Computer Software: Prepackaged Software
QTNT,Quotient Limited,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
QRTEA,"Qurate Retail, Inc.",Consumer Services,Catalog/Specialty Distribution
QRTEB,"Qurate Retail, Inc.",Consumer Services,Catalog/Specialty Distribution
QTT,Qutoutiao Inc.,n/a,n/a
RRD,R.R. Donnelley & Sons Company,Miscellaneous,Publishing
RCM,R1 RCM Inc.,Consumer Services,Other Consumer Services
RARX,"Ra Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
RADA,RADA Electronic Industries Ltd.,Consumer Non-Durables,Electronic Components
RDCM,Radcom Ltd.,Technology,Computer peripheral equipment
RDUS,"Radius Health, Inc.",Health Care,Major Pharmaceuticals
RDNT,"RadNet, Inc.",Health Care,Medical Specialities
RDWR,Radware Ltd.,Miscellaneous,Business Services
METC,"Ramaco Resources, Inc.",Energy,Coal Mining
RMBS,"Rambus, Inc.",Technology,Semiconductors
RAND,Rand Capital Corporation,Consumer Non-Durables,Textiles
RNDB,"Randolph Bancorp, Inc.",Finance,Major Banks
RPD,"Rapid7, Inc.",Technology,Computer Software: Prepackaged Software
RAVE,"Rave Restaurant Group, Inc.",Consumer Non-Durables,Food Distributors
RAVN,"Raven Industries, Inc.",Capital Goods,Specialty Chemicals
RBB,RBB Bancorp,Finance,Major Banks
ROLL,RBC Bearings Incorporated,Capital Goods,Metal Fabrications
RICK,"RCI Hospitality Holdings, Inc.",Consumer Services,Restaurants
RCMT,"RCM Technologies, Inc.",Technology,Professional Services
RDI,Reading International Inc,Consumer Services,Movies/Entertainment
RDIB,Reading International Inc,Consumer Services,Movies/Entertainment
BCNA,Reality Shares Nasdaq NexGen Economy China ETF,n/a,n/a
BLCN,Reality Shares Nasdaq NextGen Economy ETF,n/a,n/a
RLM,Realm Therapeutics plc,Health Care,Major Pharmaceuticals
RNWK,"RealNetworks, Inc.",Technology,EDP Services
RP,"RealPage, Inc.",Technology,Computer Software: Prepackaged Software
RETA,"Reata Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
RCON,"Recon Technology, Ltd.",Energy,Oilfield Services/Equipment
REPH,"Recro Pharma, Inc.",Health Care,Major Pharmaceuticals
RRGB,"Red Robin Gourmet Burgers, Inc.",Consumer Services,Restaurants
RRR,"Red Rock Resorts, Inc.",Consumer Services,Hotels/Resorts
RDVT,"Red Violet, Inc.",Technology,Computer Software: Prepackaged Software
RDFN,Redfin Corporation,Finance,Real Estate
RDHL,Redhill Biopharma Ltd.,Health Care,Major Pharmaceuticals
RBZ,Reebonz Holding Limited,Consumer Services,Other Specialty Stores
REG,Regency Centers Corporation,Consumer Services,Real Estate Investment Trusts
REGN,"Regeneron Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
RGNX,REGENXBIO Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
RGLS,Regulus Therapeutics Inc.,Health Care,Major Pharmaceuticals
RBNC,"Reliant Bancorp, Inc.",Finance,Major Banks
RELV,"Reliv&#39; International, Inc.",Health Care,Major Pharmaceuticals
MARK,"Remark Holdings, Inc.",Consumer Services,Telecommunications Equipment
RNST,Renasant Corporation,Finance,Major Banks
REGI,"Renewable Energy Group, Inc.",Basic Industries,Major Chemicals
BIQI,"Renmin Tianli Group, Inc.",Consumer Non-Durables,Farming/Seeds/Milling
RCII,Rent-A-Center Inc.,Technology,Diversified Commercial Services
RGEN,Repligen Corporation,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
REPL,"Replimune Group, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
RBCAA,"Republic Bancorp, Inc.",Finance,Major Banks
FRBK,"Republic First Bancorp, Inc.",Finance,Major Banks
REFR,Research Frontiers Incorporated,Miscellaneous,Multi-Sector Companies
RESN,Resonant Inc.,Technology,Semiconductors
RECN,"Resources Connection, Inc.",Miscellaneous,Business Services
HAIR,"Restoration Robotics, Inc.",Health Care,Medical/Dental Instruments
TORC,"resTORbio, Inc.",Health Care,Major Pharmaceuticals
ROIC,Retail Opportunity Investments Corp.,Consumer Services,Real Estate Investment Trusts
RETO,"ReTo Eco-Solutions, Inc.",Capital Goods,Industrial Machinery/Components
RTRX,"Retrophin, Inc.",Health Care,Major Pharmaceuticals
RVNC,"Revance Therapeutics, Inc.",Health Care,Major Pharmaceuticals
RVEN,"Reven Housing REIT, Inc.",Consumer Services,Real Estate Investment Trusts
RVLT,"Revolution Lighting Technologies, Inc.",Consumer Durables,Building Products
RWLK,ReWalk Robotics Ltd,Health Care,Industrial Specialties
RFIL,"RF Industries, Ltd.",Capital Goods,Electrical Products
RGCO,RGC Resources Inc.,Public Utilities,Oil & Gas Production
RBKB,"Rhinebeck Bancorp, Inc.",Finance,Banks
RYTM,"Rhythm Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
RBBN,Ribbon Communications Inc. ,Technology,EDP Services
RIBT,RiceBran Technologies,Consumer Non-Durables,Packaged Foods
RELL,"Richardson Electronics, Ltd.",Consumer Non-Durables,Electronic Components
RIGL,"Rigel Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
RNET,"RigNet, Inc.",Consumer Services,Telecommunications Equipment
RMNI,"Rimini Street, Inc.",Miscellaneous,Business Services
RIOT,"Riot Blockchain, Inc",Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
REDU,RISE Education Cayman Ltd,Consumer Services,Other Consumer Services
RTTR,"Ritter Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
RVSB,Riverview Bancorp Inc,Finance,Savings Institutions
RIVE,Riverview Financial Corporation,Finance,Major Banks
RCKT,"Rocket Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
RMTI,"Rockwell Medical, Inc.",Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
RCKY,"Rocky Brands, Inc.",Consumer Non-Durables,Shoe Manufacturing
RMCF,"Rocky Mountain Chocolate Factory, Inc.",Consumer Non-Durables,Specialty Foods
ROKU,"Roku, Inc.",Consumer Services,Television Services
ROSE,Rosehill Resources Inc.,Energy,Oil & Gas Production
ROSEU,Rosehill Resources Inc.,Energy,Oil & Gas Production
ROSEW,Rosehill Resources Inc.,Energy,Oil & Gas Production
ROST,"Ross Stores, Inc.",Consumer Services,Clothing/Shoe/Accessory Stores
RGLD,"Royal Gold, Inc.",Basic Industries,Precious Metals
RTIX,"RTI Surgical, Inc.",Health Care,Industrial Specialties
RBCN,"Rubicon Technology, Inc.",Technology,Semiconductors
RUBY,"Rubius Therapeutics, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
RMBL,"RumbleOn, Inc.",Technology,EDP Services
RUSHA,"Rush Enterprises, Inc.",Consumer Durables,Automotive Aftermarket
RUSHB,"Rush Enterprises, Inc.",Consumer Durables,Automotive Aftermarket
RUTH,"Ruth&#39;s Hospitality Group, Inc.",Consumer Services,Restaurants
RYAAY,Ryanair Holdings plc,Transportation,Air Freight/Delivery Services
STBA,"S&T Bancorp, Inc.",Finance,Major Banks
SANW,S&W Seed Company,Consumer Non-Durables,Farming/Seeds/Milling
SCAC,Saban Capital Acquisition Corp.,Finance,Business Services
SCACU,Saban Capital Acquisition Corp.,Finance,Business Services
SCACW,Saban Capital Acquisition Corp.,Finance,Business Services
SBRA,"Sabra Health Care REIT, Inc.",Consumer Services,Real Estate Investment Trusts
SABR,Sabre Corporation,Technology,"Computer Software: Programming, Data Processing"
SAEX,"SAExploration Holdings, Inc.",Energy,Oil & Gas Production
SFET,Safe-T Group Ltd.,Technology,Computer Software: Prepackaged Software
SAFT,"Safety Insurance Group, Inc.",Finance,Property-Casualty Insurers
SGA,"Saga Communications, Inc.",Consumer Services,Broadcasting
SAGE,"Sage Therapeutics, Inc.",Health Care,Major Pharmaceuticals
SAIA,"Saia, Inc.",Transportation,Trucking Freight/Courier Services
SALM,"Salem Media Group, Inc.",Consumer Services,Broadcasting
SAL,"Salisbury Bancorp, Inc.",Finance,Savings Institutions
SAFM,"Sanderson Farms, Inc.",Consumer Non-Durables,Meat/Poultry/Fish
SASR,"Sandy Spring Bancorp, Inc.",Finance,Major Banks
SGMO,"Sangamo Therapeutics, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
SANM,Sanmina Corporation,Technology,Electrical Products
GCVRZ,Sanofi,Health Care,Major Pharmaceuticals
SNY,Sanofi,Health Care,Major Pharmaceuticals
